"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",1,3,3,5,4,6,6,7,4,5,7,8,4,9,7,11,38,55,93,12,13,12.9032258064516,13.9784946236559,59.1397849462366,40.8602150537634
"2","1","2",13,4,4,3,3,5,2,5,4,2,5,4,3,4,5,9,41,37,78,22,10,28.2051282051282,12.8205128205128,47.4358974358974,52.5641025641026
"3","1","3",2,1,1,1,1,2,3,2,1,1,2,4,1,4,3,3,14,21,35,5,4,14.2857142857143,11.4285714285714,60,40
"4","1","4",4,5,6,3,3,5,2,3,5,4,2,3,5,0,3,0,32,24,56,4,7,7.14285714285714,12.5,42.8571428571429,57.1428571428571
"5","1","5",7,4,1,2,1,1,1,2,3,0,1,1,2,1,2,0,21,11,32,7,2,21.875,6.25,34.375,65.625
"6","1","6",0,0,2,2,1,6,5,1,0,3,5,4,2,4,1,0,18,21,39,0,11,0,28.2051282051282,53.8461538461538,46.1538461538462
"7","10","1",1,3,3,4,3,8,5,7,3,4,8,8,4,7,6,11,34,54,88,12,16,13.6363636363636,18.1818181818182,61.3636363636364,38.6363636363636
"8","10","2",1,3,2,3,1,3,6,7,3,3,2,10,5,8,7,24,28,63,91,25,5,27.4725274725275,5.49450549450549,69.2307692307692,30.7692307692308
"9","10","3",3,1,2,4,3,6,6,7,1,5,7,9,3,11,7,12,33,57,90,15,13,16.6666666666667,14.4444444444444,63.3333333333333,36.6666666666667
"10","10","4",0,0,0,0,0,4,0,2,0,0,5,1,0,2,2,11,8,22,30,11,9,36.6666666666667,30,73.3333333333333,26.6666666666667
"11","10","5",0,0,0,1,0,12,1,1,0,1,13,1,1,1,1,1,17,20,37,1,25,2.7027027027027,67.5675675675676,54.0540540540541,45.9459459459459
"12","10","6",0,0,1,0,0,7,2,3,0,1,6,4,1,3,2,6,13,26,39,6,13,15.3846153846154,33.3333333333333,66.6666666666667,33.3333333333333
"13","100","1",8,6,8,5,7,17,4,7,5,7,16,6,5,6,7,11,63,65,128,19,33,14.84375,25.78125,50.78125,49.21875
"14","100","2",1,2,2,5,4,10,4,7,2,4,12,6,2,8,6,5,35,48,83,6,22,7.2289156626506,26.5060240963855,57.8313253012048,42.1686746987952
"15","100","3",1,1,0,3,1,17,4,7,1,2,18,8,1,10,7,3,35,52,87,4,35,4.59770114942529,40.2298850574713,59.7701149425287,40.2298850574713
"16","100","4",1,6,6,6,9,8,6,3,6,6,11,3,3,6,3,7,47,46,93,8,19,8.60215053763441,20.4301075268817,49.4623655913978,50.5376344086022
"17","100","5",5,2,5,1,3,12,7,5,1,4,10,11,3,9,5,7,42,51,93,12,22,12.9032258064516,23.6559139784946,54.8387096774194,45.1612903225806
"18","100","6",10,5,5,5,5,17,7,3,5,5,17,5,5,5,3,3,58,50,108,13,34,12.037037037037,31.4814814814815,46.2962962962963,53.7037037037037
"19","101","1",4,7,9,7,8,10,11,3,7,9,9,7,8,6,3,4,62,53,115,8,19,6.95652173913043,16.5217391304348,46.0869565217391,53.9130434782609
"20","101","2",0,1,3,2,3,2,1,4,1,4,1,3,2,3,4,10,17,30,47,10,3,21.2765957446809,6.38297872340426,63.8297872340426,36.1702127659574
"21","101","3",1,1,0,2,0,2,3,3,1,1,1,4,2,3,3,8,13,25,38,9,3,23.6842105263158,7.89473684210526,65.7894736842105,34.2105263157895
"22","101","4",0,0,1,0,1,1,2,1,0,1,1,2,0,2,0,9,6,18,24,9,2,37.5,8.33333333333333,75,25
"23","101","5",1,1,1,4,2,4,3,2,1,4,5,1,3,2,2,3,19,23,42,4,9,9.52380952380952,21.4285714285714,54.7619047619048,45.2380952380952
"24","101","6",0,0,1,1,1,2,0,3,0,2,2,2,1,2,3,4,8,19,27,4,4,14.8148148148148,14.8148148148148,70.3703703703704,29.6296296296296
"25","102","1",1,6,12,7,15,199,18,15,6,13,202,27,3,30,15,2,274,300,574,3,401,0.522648083623693,69.8606271777004,52.2648083623693,47.7351916376307
"26","102","2",2,5,9,5,9,26,7,4,4,9,26,6,5,6,4,3,69,64,133,5,52,3.7593984962406,39.0977443609023,48.1203007518797,51.8796992481203
"27","102","3",2,5,16,1,15,22,1,3,5,12,21,3,3,2,3,4,67,54,121,6,43,4.95867768595041,35.5371900826446,44.6280991735537,55.3719008264463
"28","102","4",7,3,3,4,6,9,7,3,3,4,11,6,1,9,3,7,43,46,89,14,20,15.7303370786517,22.4719101123596,51.685393258427,48.314606741573
"29","102","5",8,4,4,1,1,11,2,3,4,1,8,4,5,0,3,8,36,34,70,16,19,22.8571428571429,27.1428571428571,48.5714285714286,51.4285714285714
"30","102","6",2,2,2,5,3,2,6,6,2,5,3,8,4,8,6,0,29,38,67,2,5,2.98507462686567,7.46268656716418,56.7164179104478,43.2835820895522
"31","103","1",12,12,10,6,8,6,10,3,12,4,4,6,8,5,3,4,68,48,116,16,10,13.7931034482759,8.62068965517241,41.3793103448276,58.6206896551724
"32","103","2",5,6,5,6,7,2,5,4,6,5,3,3,4,5,4,2,41,34,75,7,5,9.33333333333333,6.66666666666667,45.3333333333333,54.6666666666667
"33","103","3",5,2,2,6,2,3,7,3,2,6,4,4,6,4,3,1,32,31,63,6,7,9.52380952380952,11.1111111111111,49.2063492063492,50.7936507936508
"34","103","4",2,1,0,3,2,6,4,1,1,2,8,2,0,5,1,0,20,21,41,2,14,4.8780487804878,34.1463414634146,51.219512195122,48.780487804878
"35","103","5",2,3,2,5,5,2,1,4,3,5,5,0,2,3,4,0,26,23,49,2,7,4.08163265306122,14.2857142857143,46.9387755102041,53.0612244897959
"36","103","6",0,1,4,3,5,1,3,2,1,6,2,2,2,3,2,0,20,20,40,0,3,0,7.5,50,50
"37","104","1",4,5,14,5,11,17,8,5,5,14,13,8,8,5,5,2,70,62,132,6,30,4.54545454545455,22.7272727272727,46.969696969697,53.030303030303
"38","104","2",10,5,9,4,7,16,5,5,5,7,14,6,5,5,5,1,62,50,112,11,30,9.82142857142857,26.7857142857143,44.6428571428571,55.3571428571429
"39","104","3",6,5,10,4,9,17,6,2,5,10,16,4,5,3,2,1,61,47,108,7,33,6.48148148148148,30.5555555555556,43.5185185185185,56.4814814814815
"40","104","4",4,5,7,3,7,14,5,5,4,5,14,7,2,8,5,3,51,50,101,7,28,6.93069306930693,27.7227722772277,49.5049504950495,50.4950495049505
"41","104","5",0,2,7,2,5,19,5,12,2,6,17,15,3,13,11,12,52,82,134,12,36,8.95522388059701,26.865671641791,61.1940298507463,38.8059701492537
"42","104","6",3,6,6,8,8,15,6,9,6,8,17,7,6,9,9,17,62,81,143,20,32,13.986013986014,22.3776223776224,56.6433566433566,43.3566433566434
"43","105","1",5,5,6,8,8,21,8,7,5,9,22,7,7,8,7,9,70,75,145,14,43,9.6551724137931,29.6551724137931,51.7241379310345,48.2758620689655
"44","105","2",6,9,11,10,10,13,5,12,9,12,12,7,11,6,12,10,79,79,158,16,25,10.126582278481,15.8227848101266,50,50
"45","105","3",6,4,4,6,6,5,9,5,5,6,7,8,5,10,5,5,48,51,99,11,12,11.1111111111111,12.1212121212121,51.5151515151515,48.4848484848485
"46","105","4",15,11,13,5,12,8,8,3,11,6,8,6,5,6,3,2,77,48,125,17,16,13.6,12.8,38.4,61.6
"47","105","5",5,4,4,5,6,9,4,7,4,5,11,6,3,8,7,15,47,59,106,20,20,18.8679245283019,18.8679245283019,55.6603773584906,44.3396226415094
"48","105","6",7,6,8,2,8,13,6,1,6,4,14,5,2,5,1,2,53,40,93,9,27,9.67741935483871,29.0322580645161,43.010752688172,56.989247311828
"49","106","1",6,6,6,7,8,6,10,6,7,7,8,9,6,11,6,4,58,58,116,10,14,8.62068965517241,12.0689655172414,50,50
"50","106","2",4,6,5,5,3,17,5,10,6,4,15,10,7,7,9,10,55,71,126,14,32,11.1111111111111,25.3968253968254,56.3492063492063,43.6507936507937
"51","106","3",2,2,4,2,5,14,4,4,2,4,15,6,1,7,4,14,38,55,93,16,29,17.2043010752688,31.1827956989247,59.1397849462366,40.8602150537634
"52","106","4",4,4,3,3,6,11,3,1,4,2,14,1,0,3,1,1,36,28,64,5,25,7.8125,39.0625,43.75,56.25
"53","106","5",4,2,5,4,3,5,1,5,2,7,4,2,6,1,6,13,31,42,73,17,9,23.2876712328767,12.3287671232877,57.5342465753425,42.4657534246575
"54","106","6",1,3,6,7,9,8,8,2,2,10,12,3,3,7,2,3,46,43,89,4,20,4.49438202247191,22.4719101123596,48.314606741573,51.685393258427
"55","107","1",6,6,4,8,7,7,8,12,6,7,9,12,6,14,12,27,60,94,154,33,16,21.4285714285714,10.3896103896104,61.038961038961,38.961038961039
"56","107","2",1,5,3,6,5,17,7,6,5,4,19,8,4,10,6,4,51,62,113,5,36,4.42477876106195,31.858407079646,54.8672566371681,45.1327433628319
"57","107","3",15,6,9,5,11,18,8,1,6,8,19,4,4,5,1,3,75,51,126,18,37,14.2857142857143,29.3650793650794,40.4761904761905,59.5238095238095
"58","107","4",6,9,12,8,12,16,12,7,9,10,16,11,8,11,7,5,84,78,162,11,32,6.79012345679012,19.7530864197531,48.1481481481481,51.8518518518519
"59","107","5",18,11,14,9,17,14,12,3,12,11,17,6,6,9,3,3,101,67,168,21,31,12.5,18.452380952381,39.8809523809524,60.1190476190476
"60","107","6",5,5,5,7,3,17,8,11,5,7,15,12,9,10,11,16,62,87,149,21,32,14.0939597315436,21.4765100671141,58.3892617449664,41.6107382550336
"61","108","1",9,8,10,7,6,11,4,12,8,9,7,9,11,5,12,15,70,76,146,24,18,16.4383561643836,12.3287671232877,52.0547945205479,47.9452054794521
"62","108","2",12,8,6,8,8,5,10,3,8,6,7,5,6,7,3,0,62,43,105,12,12,11.4285714285714,11.4285714285714,40.9523809523809,59.0476190476191
"63","108","3",21,6,7,4,7,5,3,4,7,4,5,3,4,3,4,2,60,32,92,23,10,25,10.8695652173913,34.7826086956522,65.2173913043478
"64","108","4",28,4,4,1,5,2,2,0,5,1,3,0,1,1,0,0,49,11,60,28,5,46.6666666666667,8.33333333333333,18.3333333333333,81.6666666666667
"65","108","5",19,7,13,0,11,7,2,0,7,5,6,2,1,1,0,0,61,23,84,19,13,22.6190476190476,15.4761904761905,27.3809523809524,72.6190476190476
"66","108","6",16,7,8,0,8,3,1,0,8,1,2,1,1,0,0,0,46,13,59,16,5,27.1186440677966,8.47457627118644,22.0338983050847,77.9661016949153
"67","11","1",19,9,10,6,9,11,4,7,9,7,11,5,6,5,7,5,77,56,133,24,22,18.0451127819549,16.5413533834586,42.1052631578947,57.8947368421053
"68","11","2",6,9,12,3,10,13,5,6,9,6,12,8,5,7,6,3,66,57,123,9,25,7.31707317073171,20.3252032520325,46.3414634146341,53.6585365853659
"69","11","3",23,8,7,4,5,8,5,2,9,3,6,3,7,1,2,0,65,31,96,23,14,23.9583333333333,14.5833333333333,32.2916666666667,67.7083333333333
"70","11","4",23,9,10,2,12,4,4,0,9,3,5,2,0,4,0,0,65,25,90,23,9,25.5555555555556,10,27.7777777777778,72.2222222222222
"71","11","5",11,5,5,3,4,6,5,3,5,2,6,5,3,5,3,2,44,32,76,13,12,17.1052631578947,15.7894736842105,42.1052631578947,57.8947368421053
"72","11","6",8,7,6,4,5,5,6,3,8,3,4,5,5,4,3,3,47,35,82,11,9,13.4146341463415,10.9756097560976,42.6829268292683,57.3170731707317
"73","12","1",12,8,7,8,9,7,4,8,8,7,9,5,5,7,8,7,64,58,122,19,16,15.5737704918033,13.1147540983607,47.5409836065574,52.4590163934426
"74","12","2",1,4,9,5,7,11,7,5,4,10,9,7,7,5,4,1,49,50,99,2,20,2.02020202020202,20.2020202020202,50.5050505050505,49.4949494949495
"75","12","3",18,9,10,3,8,3,5,1,9,4,1,3,5,1,1,0,60,24,84,18,4,21.4285714285714,4.76190476190476,28.5714285714286,71.4285714285714
"76","12","4",17,5,6,2,5,5,3,2,6,3,4,3,4,2,2,1,48,25,73,18,9,24.6575342465753,12.3287671232877,34.2465753424658,65.7534246575343
"77","12","5",16,5,4,2,5,5,1,1,4,1,6,0,0,1,1,1,40,16,56,17,11,30.3571428571429,19.6428571428571,28.5714285714286,71.4285714285714
"78","12","6",13,4,7,1,6,4,3,0,5,4,3,2,3,1,0,0,41,18,59,13,7,22.0338983050847,11.864406779661,30.5084745762712,69.4915254237288
"79","13","1",2,6,7,9,4,10,5,12,6,10,7,7,12,4,12,14,56,74,130,16,17,12.3076923076923,13.0769230769231,56.9230769230769,43.0769230769231
"80","13","2",30,7,5,8,7,5,5,5,7,6,6,2,6,3,5,4,73,41,114,34,11,29.8245614035088,9.64912280701754,35.9649122807018,64.0350877192982
"81","13","3",11,9,6,8,7,6,4,11,8,5,7,7,6,8,10,6,62,60,122,17,13,13.9344262295082,10.655737704918,49.1803278688525,50.8196721311475
"82","13","4",4,8,7,8,8,8,11,4,8,7,9,7,6,8,4,2,59,53,112,6,17,5.35714285714286,15.1785714285714,47.3214285714286,52.6785714285714
"83","13","5",5,6,5,6,6,10,5,4,6,5,11,3,4,5,4,5,48,45,93,10,21,10.752688172043,22.5806451612903,48.3870967741936,51.6129032258064
"84","13","6",8,4,8,4,5,13,5,2,4,8,10,3,7,0,2,0,51,35,86,8,23,9.30232558139535,26.7441860465116,40.6976744186046,59.3023255813954
"85","14","1",0,1,2,0,1,9,1,1,0,1,9,2,0,2,1,4,17,20,37,4,18,10.8108108108108,48.6486486486486,54.0540540540541,45.9459459459459
"86","14","2",2,6,6,3,6,10,3,3,5,4,10,3,3,3,3,1,41,33,74,3,20,4.05405405405405,27.027027027027,44.5945945945946,55.4054054054054
"87","14","3",2,5,18,2,19,261,13,2,5,15,262,13,1,14,2,0,324,313,637,2,523,0.313971742543171,82.1036106750392,49.1365777080063,50.8634222919937
