0,Info,21/8/22 5:38,Service 'ymaze_inLT' : Execution start,,
0,Info,Subject Identification,41 42 43 44 45 46 47 48,,
0,Info,Apparatus,Zantiks LT 1,,
0,Info,Unit ID,EAB8E5,,
30.329,Info,Arena,1,Enter_Zone,3
30.329,Info,Arena,2,Enter_Zone,2
30.762,Info,Arena,1,Exit_Zone,3
30.762,Info,Arena,1,Enter_Zone,4
30.862,Info,Arena,1,Exit_Zone,4
30.862,Info,Arena,1,Enter_Zone,2
34.228,Info,Arena,1,Exit_Zone,2
34.228,Info,Arena,1,Enter_Zone,4
34.295,Info,Arena,1,Exit_Zone,4
34.295,Info,Arena,1,Enter_Zone,3
34.362,Info,Arena,3,Enter_Zone,2
36.728,Info,Arena,3,Exit_Zone,2
36.728,Info,Arena,3,Enter_Zone,4
38.328,Info,Arena,1,Exit_Zone,3
38.328,Info,Arena,1,Enter_Zone,4
38.361,Info,Arena,1,Exit_Zone,4
38.361,Info,Arena,1,Enter_Zone,2
38.428,Info,Arena,3,Exit_Zone,4
38.428,Info,Arena,3,Enter_Zone,1
43.294,Info,Arena,1,Exit_Zone,2
43.294,Info,Arena,1,Enter_Zone,4
43.394,Info,Arena,1,Exit_Zone,4
43.394,Info,Arena,1,Enter_Zone,3
43.994,Info,Arena,3,Exit_Zone,1
43.994,Info,Arena,3,Enter_Zone,4
44.761,Info,Arena,3,Exit_Zone,4
44.761,Info,Arena,3,Enter_Zone,2
45.661,Info,Arena,2,Exit_Zone,2
45.661,Info,Arena,2,Enter_Zone,4
45.827,Info,Arena,2,Exit_Zone,4
45.827,Info,Arena,2,Enter_Zone,3
48.027,Info,Arena,1,Exit_Zone,3
48.027,Info,Arena,1,Enter_Zone,4
48.194,Info,Arena,1,Exit_Zone,4
48.194,Info,Arena,1,Enter_Zone,1
51.06,Info,Arena,3,Exit_Zone,2
51.06,Info,Arena,3,Enter_Zone,4
52.46,Info,Arena,1,Exit_Zone,1
52.46,Info,Arena,1,Enter_Zone,4
52.86,Info,Arena,1,Exit_Zone,4
52.86,Info,Arena,1,Enter_Zone,3
52.893,Info,Arena,3,Exit_Zone,4
52.893,Info,Arena,3,Enter_Zone,1
53.393,Info,Arena,2,Exit_Zone,3
53.393,Info,Arena,2,Enter_Zone,4
53.96,Info,Arena,2,Exit_Zone,4
53.96,Info,Arena,2,Enter_Zone,1
55.627,Info,Arena,1,Exit_Zone,3
55.627,Info,Arena,1,Enter_Zone,4
55.893,Info,Arena,1,Exit_Zone,4
55.893,Info,Arena,1,Enter_Zone,1
55.993,Info,Arena,3,Exit_Zone,1
55.993,Info,Arena,3,Enter_Zone,4
56.86,Info,Arena,3,Exit_Zone,4
56.86,Info,Arena,3,Enter_Zone,2
57.993,Info,Arena,2,Exit_Zone,1
57.993,Info,Arena,2,Enter_Zone,4
58.26,Info,Arena,3,Exit_Zone,2
58.26,Info,Arena,3,Enter_Zone,4
58.426,Info,Arena,2,Exit_Zone,4
58.426,Info,Arena,2,Enter_Zone,2
59.36,Info,Arena,1,Exit_Zone,1
59.36,Info,Arena,1,Enter_Zone,4
59.393,Info,Arena,1,Exit_Zone,4
59.393,Info,Arena,1,Enter_Zone,2
59.593,Info,Arena,3,Exit_Zone,4
59.593,Info,Arena,3,Enter_Zone,1
66.392,Info,Arena,1,Exit_Zone,2
66.392,Info,Arena,1,Enter_Zone,4
66.526,Info,Arena,1,Exit_Zone,4
66.526,Info,Arena,1,Enter_Zone,3
68.892,Info,Arena,2,Exit_Zone,2
68.892,Info,Arena,2,Enter_Zone,4
68.959,Info,Arena,1,Exit_Zone,3
68.959,Info,Arena,1,Enter_Zone,2
69.225,Info,Arena,2,Exit_Zone,4
69.225,Info,Arena,2,Enter_Zone,2
72.092,Info,Arena,1,Exit_Zone,2
72.092,Info,Arena,1,Enter_Zone,4
72.259,Info,Arena,1,Exit_Zone,4
72.259,Info,Arena,1,Enter_Zone,3
74.958,Info,Arena,2,Exit_Zone,2
74.958,Info,Arena,2,Enter_Zone,4
75.225,Info,Arena,1,Exit_Zone,3
75.225,Info,Arena,1,Enter_Zone,4
75.292,Info,Arena,2,Exit_Zone,4
75.292,Info,Arena,2,Enter_Zone,1
75.892,Info,Arena,1,Exit_Zone,4
75.892,Info,Arena,1,Enter_Zone,2
76.725,Info,Arena,1,Exit_Zone,2
76.725,Info,Arena,1,Enter_Zone,4
76.758,Info,Arena,1,Exit_Zone,4
76.758,Info,Arena,1,Enter_Zone,3
77.658,Info,Arena,2,Exit_Zone,1
